ID,Fecha_de_creacion_usuario,Fecha_creacion_del_tweet,nombre_usuario,texto,localizacion,numero_seguidores,numero_seguidos,numero_retweets,numero_tweets,numero_favoritos,menciones,retweet
1662785983257903105,20/01/07,23/05/28,aria87ka,"RT @ElHuffPost: ÚLTIMA HORA: sube tres puntos la participación en la Comunidad de Madrid respecto a las elecciones de 2019, hasta la una de…",,1851,1048,7,90710,129549,['ElHuffPost'],ElHuffPost
1662785870666006539,12/06/09,23/05/28,_infoLibre,"🔴 Directo | La participación crece 2,6 puntos en la Comunidad de Madrid y se sitúa en el 29,17% https://t.co/fQKyTFbwYn https://t.co/ji8QdImhet",Madrid,964,382218,0,243574,18287,[],
1662785759672250369,09/12/16,23/05/28,juancmartinc,RT @kkrispin: Desde Venezuela nuestros mejores deseos para @IdiazAyuso en las elecciones de mañana. Espero que gane por mayoría absoluta. ¡…,"ÜT: 10.479595,-66.892826",598,182,99,41739,1335,"['kkrispin', 'IdiazAyuso']",kkrispin
1662785706463318016,14/12/21,23/05/28,eduard_nicolau,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…",,486,230,281,4937,6781,['elmundotoday'],elmundotoday
1662785701786578946,21/08/23,23/05/28,ElPeriodico_Esp,"#Elecciones2023 | La participación en la Comunidad de Madrid se eleva al 29% hasta las 13:00, tres puntos más que en 2021

🔗https://t.co/qiXXKLJaMU https://t.co/hq3liaA6Y5",España,526,44210,0,57385,294,[],
1662785647726190593,11/10/24,23/05/28,Gonzalez13n,"RT @ElHuffPost: Sotomayor: ""La colleja que le va a dar el pueblo de Madrid a Almeida va a ser clara y contundente"" #28M
https://t.co/oA3YlG…",Madrid,1847,460,99,30208,41559,['ElHuffPost'],ElHuffPost
1662785646992269312,12/06/21,23/05/28,MelonDeCorazon,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…","Andalucía, España",155,186,18,75227,27579,['Otto_Mas'],Otto_Mas
1662785574858620929,15/03/20,23/05/28,mpc__97,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…",Ingeniero de Software en,705,273,281,39074,98564,['elmundotoday'],elmundotoday
1662785561181003778,12/11/09,23/05/28,jgalanla,RT @PlenaMadrid: 🙋‍♂️🙋‍♀️Hoy unas 25.000 personas con discapacidad intelectual están llamadas a participar en las elecciones autonómicas y…,,265,70,1,1123,3775,['PlenaMadrid'],PlenaMadrid
1662785532835901444,10/07/07,23/05/28,normanmasia,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…","Amposta, Catalunya.",84,179,281,23481,55735,['elmundotoday'],elmundotoday
